f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,p,t,rh
34.92201737,33.62533784,28.66694015,21.69545367,19.92824324,17.91414093,17.62389961,107.095917,148.6843436,250.4129633,278.3575097,283.3530985,283.7486873,284.0729923,1009.064303,291.0656072,53.61010595
32.13273786,30.78618447,26.65354369,20.55376699,18.94874757,16.99999029,16.82499029,107.2183301,148.7900971,250.510466,277.7342718,281.4111359,281.6568058,281.8484175,1009.418903,287.2238953,67.17454992
26.50225121,25.69847343,22.44637681,17.89472464,16.56800966,15.23970048,15.47920773,104.4375652,147.4274106,253.0903671,281.9895459,287.1628116,287.6432464,288.0485314,1004.870416,295.0268134,46.47628362
45.21249757,42.5237415,35.99940719,26.27216715,23.65313897,20.62172983,19.75961127,110.2237512,151.8091837,253.8849174,281.1293003,284.594966,284.7828377,284.9005151,1004.539803,289.1889435,69.53226863
19.52680272,18.0050243,15.52137998,12.93541302,12.35516035,11.93909621,12.83468416,103.9844509,146.1413022,247.7757143,275.0566181,280.5850437,281.2354713,281.7473275,1021.366093,289.0800983,32.86363636
20.27456754,18.60905734,16.26848397,13.31857143,12.79606414,12.30507289,13.18953353,104.3129932,145.9307969,246.8640233,273.946482,278.7619728,279.3108066,279.6217493,1021.905242,284.8382473,54.38525799
44.68824847,42.56906314,36.43317719,28.30732179,26.36922607,24.42300407,24.96124236,118.5989511,156.9764358,250.302831,275.2876884,280.4607434,281.0597352,281.5180957,1016.687195,289.9958719,47.26234204
25.27294406,24.0368106,21.32725221,17.14047105,16.11460255,14.95275761,15.35878312,106.8921394,148.215476,248.393317,275.2584691,279.8838175,280.2434347,280.5943768,1019.415442,287.3117258,63.34797688
26.24171569,24.44962745,20.33170588,15.89715686,15.07827451,14.36002941,15.32301961,106.7686078,148.2194804,249.0246176,276.0072647,280.9877941,281.4183529,281.9018824,1018.846617,288.9626238,37.04356436
22.10732039,20.81514563,18.08473786,14.53341748,13.73333981,12.87508738,13.62709709,104.9039223,146.4482621,247.3514466,273.9931068,277.9991359,278.4251359,278.7276019,1022.092308,284.7418985,44.13232406
28.4597973,26.34266409,22.06050193,16.5988417,15.41747104,14.16491313,14.72834942,105.8666313,147.6416409,249.2530309,277.144112,282.7848552,283.3812645,283.8130116,1018.443974,291.9438925,32.96368078
18.41942774,18.24327837,16.13638215,13.36030068,12.71893307,12.13327837,12.96330747,103.9669641,145.840485,248.119709,276.1424054,281.2670417,281.8169253,282.1370805,1020.176841,288.4102291,41.07062193
21.14774757,19.94650485,16.90727184,13.74166019,13.08821359,12.4808932,13.35257282,104.0075922,146.120699,249.5691359,278.8109903,285.0081845,285.6164369,286.0967864,1016.225859,293.9696399,33.62512275
19.28808738,18.7175534,17.01801942,14.20639806,13.56357282,12.87696117,13.55987379,104.4272913,146.0798641,248.478233,277.3685825,283.2236408,283.6939709,284.040767,1017.772177,289.6675941,49.73436989
21.658613,21.10304559,18.83623666,15.42581959,14.52488846,13.56892338,14.05644035,104.5444326,146.4620272,249.8575558,279.8152958,286.5889137,287.2483317,287.754937,1014.42635,295.503928,35.21841244
25.69241245,24.75448444,21.90246109,17.41607004,16.1536284,14.78848249,15.09843385,106.1546109,147.5927821,249.3986673,278.6854086,284.2806031,284.6953016,284.9824222,1017.533689,289.3031148,50.58639344
23.1528263,22.39350343,20.38279686,16.66494603,15.58769382,14.4357213,14.84268891,104.9909028,146.9804416,250.7636703,280.5859666,287.3879882,288.0384985,288.5363886,1014.606441,296.1850537,37.8507019
19.33810599,19.11969578,17.70084396,15.00178606,14.26996075,13.39349362,14.03720314,105.0128557,147.4545339,250.8455643,279.393631,284.3702453,284.778263,284.9201374,1019.138563,289.5911643,60.44847234
23.13283427,21.71020716,19.85573446,16.14659134,14.90579096,13.85942561,14.09364407,103.8046422,147.2824482,254.8555556,285.1895951,291.2099529,291.7125518,292.0409699,1006.771748,299.9182761,35.38172386
23.42147114,22.84781192,20.53376164,16.42996276,15.38925512,14.08751397,14.30238361,103.7943855,147.7844134,255.7353352,285.1808473,289.226676,289.4160801,289.3989479,1006.040995,293.2310427,48.37969984
77.47111535,74.38034318,64.77044805,50.09475691,46.00407054,41.82413727,41.77939943,137.2879504,173.3361201,260.8473689,285.1432412,289.9064538,290.2422021,290.5630601,1001.234113,298.5378226,67.89983871
49.97723048,49.62104089,42.42587361,30.9611803,27.79297398,24.00347584,22.47026952,113.456013,154.4899628,255.1523141,282.569461,287.0615149,287.3871468,287.7808922,1007.169352,294.6266193,62.73388626
23.42746061,25.00729379,22.25075996,17.62586654,16.42088044,14.9086747,14.93177943,104.7234847,147.9458665,254.9239018,285.4300834,291.7190732,292.2728174,292.7545505,1005.808346,300.6174016,42.99433071
34.05242791,33.12197209,29.5372186,22.9771814,21.00684651,18.73814884,18.18253953,108.9074791,150.9892837,254.8203721,283.9823349,288.9056372,289.1915814,289.494186,1007.524269,295.6219763,66.64189723
29.42316914,28.4414684,25.05049257,19.33241636,17.71067844,15.88561338,15.66695167,105.4957528,148.579619,256.9818309,288.333829,294.7389777,295.1926022,295.5751766,1001.825829,302.2819115,49.85774092
38.71754893,37.42003728,32.69967381,24.79470643,22.50493942,19.76164026,18.87762349,109.0503448,151.3156011,256.0007363,285.3739515,289.8417241,290.0302237,290.1389469,1003.824961,296.6352291,60.13522907
30.4996186,29.54426977,25.91091163,20.14627907,18.27173953,16.39465116,16.3172186,105.5426977,149.0774698,257.1195814,288.2938512,294.3971442,294.9179814,295.3177767,1001.971169,302.9725908,41.5007109
34.0378962,32.64237257,28.56492122,22.18666358,20.28720111,18.09041705,17.46937905,107.1982762,150.4480445,257.8820019,288.516089,293.5398981,293.7426043,293.9433457,1000.529606,297.8116535,63.06141732
32.62029767,31.50468837,27.22282791,20.80802791,18.94152558,16.93417674,16.50983256,105.3313209,149.1058884,258.8604558,290.6242419,296.9254512,297.4592372,297.8286512,995.1262451,304.4254545,40.99509881
43.33324651,41.78025116,35.78952558,26.45254884,23.74894884,20.70628837,19.52924651,108.8301023,151.7607349,258.9068465,289.414893,294.4542605,294.7733116,295.0202884,995.9460079,300.4360474,49.8027668
43.90291667,41.93082407,35.38674074,25.68396296,22.92387963,19.90877778,18.74996296,107.4906852,150.7251667,259.8115093,292.0430278,298.8282407,299.2522685,299.6580185,992.088749,306.5260425,43.57537372
39.70005566,37.91743043,32.83080705,24.12049165,21.74814471,18.98184601,18.26837662,107.7844527,150.3425232,256.9981076,287.6230148,293.256744,293.4908534,293.8038219,999.0520883,299.6023641,55.89897557
44.77807083,42.39708295,35.90191053,25.61184529,22.87602982,19.76158434,18.83561044,108.4713886,150.8989842,256.6031594,286.692274,292.8708574,293.4591426,293.9295061,1001.425276,302.3278831,37.69178515
43.52335185,41.33710185,35.20686111,25.20397222,22.55569444,19.51713889,18.66059259,108.3829722,150.8661389,256.5844722,286.1824259,290.8658333,291.2311667,291.4545833,1001.48696,298.061194,43.75577376
56.16012116,53.60659832,45.44385834,32.7955452,29.14359739,24.78138863,22.82048462,112.370028,154.8230196,260.7909972,290.9857689,296.263616,296.5929823,296.8631314,994.8807267,304.7916272,42.54549763
57.85640786,55.64679139,49.1988681,36.30281572,32.3282507,27.5834986,25.08394761,114.3021515,156.4990178,261.9898971,291.9584846,296.9550982,297.1653601,297.4435173,994.4119936,301.7552025,54.26052423
66.57992516,63.34926099,55.65770814,40.27437792,35.66757717,30.25999065,27.26777362,116.296754,158.0827128,262.8255005,293.0708138,299.6350608,300.2288494,300.7302619,991.8961905,307.5727778,45.27880952
79.54397545,76.73253069,67.94016053,50.35551464,44.96749764,38.6221152,35.43381492,126.8449858,165.7630784,261.8661284,288.7469405,293.20695,293.4882059,293.6783947,993.9968026,300.4693845,70.23413269
74.15017757,71.6274486,63.3538785,46.80709346,41.55675701,35.34185047,31.8372243,122.1464019,162.4238598,262.3733364,290.4615607,295.8881495,296.4198972,296.8580841,996.1457937,304.7296032,59.78015873
41.0491744,38.6464564,32.30773655,23.06721707,20.71910019,18.08213358,17.31000928,106.9581725,150.6561596,258.9699351,288.6500835,293.5426438,293.7670315,293.9739425,1002.081625,300.2037855,34.32776025
